Code,Title,Description
priceOfGoodsProvisionOfService,Price Of Goods/Provision Of Service,Applicable to aquisitionInitialCapitalExpedinture Criterion
commissioningCosts,Commissioning Costs,Applicable to aquisitionInitialCapitalExpedinture Criterion
owningOperatingReccurentCosts,Owning/Operating/Recurrent Costs,Applicable to owningOperatingReccurentCosts Criterion
endOfLifeDisposalExit,End of Life/Disposal/Exit,Applicable to endOfLifeDisposalExit Criterion
functionality,Functionality,Applicable to functionality Criterion
methodology,Methodology,Applicable to methodology Criterion
innovation,Innovation,Applicable to innovation Criterion
maintainbility,Maintainbility,Applicable to maintainbility Criterion
afterSalesAssistanceAndSupport,After sales assistance and support,Applicable to afterSalesAssistanceAndSupport Criterion
security,Security,Applicable to security Criterion
sustainabilityConsiderations,Sustainability Considerations,Applicable to sustainabilityConsiderations Criterion
