Code,Title,Description
material,Material,Applicable to priceOfGoodsProvisionOfService Requirement Group
labourHourlyRate,Labour/Hourly Rate,Applicable to priceOfGoodsProvisionOfService Requirement Group
overheads,Overheads,Applicable to priceOfGoodsProvisionOfService Requirement Group
packaging,Packaging,Applicable to priceOfGoodsProvisionOfService Requirement Group
profit,Profit,Applicable to priceOfGoodsProvisionOfService Requirement Group
delivery,Delivery,Applicable to commissioningCosts Requirement Group
installation,Installation,Applicable to commissioningCosts Requirement Group
training,Training,Applicable to commissioningCosts Requirement Group
travel,Travel,Applicable to commissioningCosts Requirement Group
maintanance,Maintanance,Applicable to owningOperatingReccurentCosts Requirement Group
spares,Spares,Applicable to owningOperatingReccurentCosts Requirement Group
energyFuelConsumption,Energy/Fuel Consumption,Applicable to owningOperatingReccurentCosts Requirement Group
upgradeCosts,Upgrade Costs,Applicable to owningOperatingReccurentCosts Requirement Group
consumables,Consumables,Applicable to owningOperatingReccurentCosts Requirement Group
disposalExitCosts,Disposal/Exit Costs,Applicable to endOfLifeDisposalExit Requirement Group
lessResidualValue,Less Residual Value,Applicable to endOfLifeDisposalExit Requirement Group
