Code,Title,Description
aquisitionInitialCapitalExpedinture,Acqusistion/Initial Capital Expenditure,Criterion for Price description; see Price tab in Price-Quality matrix
owningOperatingReccurentCosts,Owning/Operating/Recurrent Costs,Criterion for Price description; see Price tab in Price-Quality matrix
endOfLifeDisposalExit,End of Life/Disposal/Exit,Criterion for Price description; see Price tab in Price-Quality matrix
functionality,Functionality,Criterion for Quality description; see Quality tab in Price-Quality matrix
methodology,Methodology,Criterion for Quality description; see Quality tab in Price-Quality matrix
innovation,Innovation,Criterion for Quality description; see Quality tab in Price-Quality matrix
maintainbility,Maintainbility,Criterion for Quality description; see Quality tab in Price-Quality matrix
afterSalesAssistanceAndSupport,After sales assistance and support,Criterion for Quality description; see Quality tab in Price-Quality matrix
security,Security,Criterion for Quality description; see Quality tab in Price-Quality matrix
sustainabilityConsiderations,Sustainability Considerations,Criterion for Quality description; see Quality tab in Price-Quality matrix
